"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-01","0.5",",,S",,,"22.4","H,,S",,,"17.7",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-02","0.0",",,S",,,"24.2","H,,S","26.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-03","4.1",",,S",,,"21.7","H,,S","23.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-04","9.9",",,S",,,"22.6","H,,S",,,"20.6",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-05","36.1",",,S",,,"22.1","H,,S","25.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-06","40.4",",,S",,,"21.6","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-07","18.0",",,S",,,"21.2","H,,S","23.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-08","10.9",",,S",,,"17.6","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-09","24.9",",,S",,,"19.8","H,,S","22.0",",,S","16.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-10","0.0",",,S",,,"23.1","H,,S","25.7",",,S","18.8",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-11","33.0",",,S",,,"21.4","H,,S","24.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-12","4.1",",,S",,,"19.2","H,,S","22.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-13","5.6",",,S",,,"16.7","H,,S","18.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-14","11.9",",,S",,,"17.5","H,,S",,,"15.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-15","2.0",",,S",,,"18.6","H,,S","20.4",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-16","31.0",",,S",,,"21.3","H,,S",,,"17.8",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-17","13.0",",,S",,,"19.8","H,,S","25.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-18","43.4",",,S",,,"17.6","H,,S","20.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-19","0.0",",,S",,,"17.2","H,,S","19.3",",,S","15.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-20","0.0",",,S",,,"19.4","H,,S",,,"15.4",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-21","11.9",",,S",,,"20.6","H,,S","23.5",",,S",,
